status,trade_id,symbol,direction,strategy,confidence,entry_time,entry_price,exit_time,exit_price,tp_set,sl_set,pnl_gbp,pnl_pips,duration_minutes,position_size,session,day_of_week,hour_of_day,exit_reason,market_regime,volatility_at_entry,spread_pips,atr_pips,order_flow_bias,multi_tf_alignment,max_favorable_excursion_pips,max_adverse_excursion_pips,market_conditions_json,indicators_json
TRADED,98903,GBP_USD,buy,unknown_restart,0.0,2026-02-11T10:48:05.489649094Z,1.37046,2026-02-11T13:30:01.743398402Z,1.36447,0.0,0.0,-142.7213,-59.899999999999395,161,32350.0,,Wednesday,10,stop_loss,,,,,,,,,{},{}
TRADED,98892,AUD_USD,buy,unknown_restart,0.0,2026-02-11T02:34:54.216870781Z,0.71223,2026-02-13T06:04:42.758900672Z,0.70634,0.0,0.0,-125.5562,-58.90000000000062,3089,28849.0,,Wednesday,2,stop_loss,,,,,,,,,{},{}
TRADED,98885,GBP_USD,sell,unknown_restart,0.0,2026-02-10T19:11:08.979810791Z,1.36416,2026-02-11T10:41:34.125250509Z,1.37007,0.0,0.0,-133.8615,-59.0999999999986,930,30876.0,,Tuesday,19,stop_loss,,,,,,,,,{},{}
TRADED,98878,GBP_USD,buy,unknown_restart,0.0,2026-02-09T19:38:35.160495958Z,1.36985,2026-02-10T19:10:36.631568118Z,1.36395,0.0,0.0,-134.2856,-59.00000000000016,1412,30891.0,,Monday,19,stop_loss,,,,,,,,,{},{}
TRADED,98871,USD_CAD,sell,unknown_restart,0.0,2026-02-09T18:09:12.169896116Z,1.35623,2026-02-11T03:25:07.041848231Z,1.35212,0.0,0.0,93.3089,41.10000000000058,1995,42141.0,,Monday,18,take_profit,,,,,,,,,{},{}
TRADED,98868,USD_CAD,sell,unknown_restart,0.0,2026-02-09T18:09:12.047199975Z,1.35619,2026-02-11T03:25:07.138208395Z,1.35208,0.0,0.0,93.3171,41.10000000000058,1995,42143.0,,Monday,18,take_profit,,,,,,,,,{},{}
TRADED,98860,AUD_USD,buy,unknown_restart,0.0,2026-02-09T14:58:36.919844166Z,0.70795,2026-02-11T02:33:11.138095896Z,0.71205,0.0,0.0,98.9981,40.99999999999993,2134,33145.0,,Monday,14,take_profit,,,,,,,,,{},{}
TRADED,98854,EUR_USD,buy,unknown_restart,0.0,2026-02-09T14:12:01.533042387Z,1.19114,2026-02-11T13:30:12.602093245Z,1.18521,0.0,0.0,-143.4932,-59.29999999999991,2838,32829.0,,Monday,14,stop_loss,,,,,,,,,{},{}
TRADED,98848,GBP_USD,buy,unknown_restart,0.0,2026-02-09T12:49:30.807111380Z,1.36534,2026-02-09T19:36:55.652422272Z,1.36942,0.0,0.0,93.2781,40.800000000000836,407,31467.0,,Monday,12,take_profit,,,,,,,,,{},{}
TRADED,98837,EUR_USD,buy,unknown_restart,0.0,2026-02-09T09:05:40.276663881Z,1.18696,2026-02-09T14:11:09.002120212Z,1.19104,0.0,0.0,125.182,40.800000000000836,305,42034.0,,Monday,9,take_profit,,,,,,,,,{},{}
TRADED,98830,GBP_USD,sell,unknown_restart,0.0,2026-02-09T02:07:53.184497997Z,1.3595,2026-02-09T12:48:28.592174984Z,1.36539,0.0,0.0,-161.3696,-58.900000000001725,640,37220.0,,Monday,2,stop_loss,,,,,,,,,{},{}
TRADED,98825,NZD_USD,buy,unknown_restart,0.0,2026-02-09T00:07:12.801503373Z,0.6032,2026-02-12T10:33:35.380966890Z,0.6073,0.0,0.0,112.6931,40.99999999999993,4946,37685.0,,Monday,0,take_profit,,,,,,,,,{},{}
TRADED,98821,EUR_USD,buy,unknown_restart,0.0,2026-02-09T00:04:33.768112770Z,1.18285,2026-02-09T09:05:10.577082720Z,1.18694,0.0,0.0,112.6653,40.90000000000149,540,37686.0,,Monday,0,take_profit,,,,,,,,,{},{}
TRADED,98817,AUD_USD,buy,unknown_restart,0.0,2026-02-09T00:01:07.309583704Z,0.70318,2026-02-09T14:38:57.957899273Z,0.70727,0.0,0.0,113.6469,40.89999999999927,877,38072.0,,Monday,0,take_profit,,,,,,,,,{},{}
TRADED,98770,EUR_AUD,sell,unknown_restart,0.0,2026-02-03T03:51:36.567937772Z,1.68289,2026-02-04T15:01:58.298742369Z,1.6856,0.0,0.0,-72.8624,-27.099999999999902,2110,52235.0,,Tuesday,3,CLOSED,,,,,,,,,{},{}
TRADED,98719,USD_CHF,sell,unknown_restart,0.0,2026-01-25T22:21:10.984239283Z,0.77531,2026-01-28T19:02:47.163939177Z,0.77241,0.0,0.0,312.1737,29.000000000000135,4121,114959.0,,Sunday,22,CLOSED,,,,,,,,,{},{}
TRADED,98588,AUD_CHF,sell,unknown_restart,0.0,2025-12-18T00:09:00.764674500Z,0.52451,2026-02-09T12:08:45.659009947Z,0.54285,0.0,0.0,-1450.5443,-183.40000000000023,77039,82758.0,,Thursday,0,CLOSED,,,,,,,,,{},{}
TRADED,98584,AUD_CHF,sell,unknown_restart,0.0,2025-12-18T00:07:34.567783960Z,0.52456,2026-02-09T12:08:45.659009947Z,0.54285,0.0,0.0,-1484.5732,-182.9000000000003,77041,84931.0,,Thursday,0,CLOSED,,,,,,,,,{},{}
TRADED,99120,GBP_USD,sell,unknown_restart,0.0,2026-02-27T17:00:24.076938086Z,1.34532,2026-03-01T22:04:55.063559076Z,1.34115,0.0,0.0,94.9078,41.700000000000074,3184,30671.0,,Friday,17,take_profit,,,,,,,,,{},{}
TRADED,99093,AUD_USD,sell,unknown_restart,0.0,2026-02-26T15:02:49.846227690Z,0.70986,2026-03-01T22:04:55.026965708Z,0.70478,0.0,0.0,121.0848,50.80000000000084,4742,32308.0,,Thursday,15,take_profit,,,,,,,,,{},{}
TRADED,99131,AUD_USD,sell,trend_following,0.8550000000000001,2026-03-02T00:04:00.856390,0.7056,2026-03-02T03:23:15.027168903Z,0.71154,0.701535,0.711535,-125.0029,-59.39999999999945,199,28168,tokyo,Monday,0,stop_loss,,,,,,,,,{},{}
TRADED,99083,EUR_USD,sell,unknown_restart,0.0,2026-02-24T07:51:53.635540893Z,1.17752,2026-03-02T06:40:03.911928750Z,1.1734,0.0,0.0,83.5642,41.199999999999015,8568,27272.0,,Tuesday,7,take_profit,,,,,,,,,{},{}
TRADED,99141,AUD_USD,buy,unknown_restart,0.0,2026-03-02T03:25:06.904354809Z,0.71155,2026-03-02T07:09:53.335558351Z,0.70563,0.0,0.0,-125.7972,-59.200000000000365,224,28268.0,,Monday,3,stop_loss,,,,,,,,,{},{}
TRADED,99135,GBP_USD,sell,trend_following,0.8800000000000001,2026-03-02T00:06:40.744060,1.34019,2026-03-02T07:16:59.246218922Z,1.33614,1.336145,1.346145,86.2849,40.49999999999887,430,28608,tokyo,Monday,0,take_profit,,,,,,,,,{},{}
TRADED,99159,GBP_USD,sell,trend_following,0.89,2026-03-02T08:02:41.613864,1.3367,2026-03-02T08:31:06.931921772Z,1.33264,1.3326425,1.3426425,99.7212,40.599999999999525,28,32895,tokyo_london_overlap,Monday,8,take_profit,,,,,,,,,{},{}
TRADED,99165,GBP_USD,sell,momentum_pullback,0.95,2026-03-02T08:46:10.055470,1.33415,2026-03-02T10:35:45.250612337Z,1.34009,1.3300925,1.3400925,-152.0547,-59.40000000000056,109,34132,tokyo_london_overlap,Monday,8,stop_loss,,,,,,,,,{},{}
TRADED,99074,NZD_USD,sell,unknown_restart,0.0,2026-02-23T16:21:33.009700527Z,0.59661,2026-03-02T15:52:06.873010155Z,0.59252,0.0,0.0,98.9953,40.89999999999927,10050,32526.0,,Monday,16,take_profit,,,,,,,,,{},{}
TRADED,99155,EUR_USD,sell,unknown_restart,0.0,2026-03-02T07:28:20.059236353Z,1.17228,2026-03-02T15:57:21.330206127Z,1.16819,0.0,0.0,86.9946,40.89999999999927,509,28578.0,,Monday,7,take_profit,,,,,,,,,{},{}
TRADED,99112,USD_CAD,sell,unknown_restart,0.0,2026-02-27T15:09:33.515589950Z,1.3648,2026-03-02T16:05:20.411935584Z,1.37072,0.0,0.0,-145.9921,-59.19999999999925,4375,44966.0,,Friday,15,stop_loss,,,,,,,,,{},{}
TRADED,99116,EUR_GBP,buy,unknown_restart,0.0,2026-02-27T16:02:33.105945212Z,0.87823,2026-03-02T17:31:11.063801161Z,0.87231,0.0,0.0,-144.6552,-59.19999999999925,4408,24435.0,,Friday,16,stop_loss,,,,,,,,,{},{}
TRADED,99151,AUD_USD,sell,unknown_restart,0.0,2026-03-02T07:26:31.227867607Z,0.70606,2026-03-03T01:23:04.606982135Z,0.71196,0.0,0.0,-124.6488,-59.00000000000016,1076,28212.0,,Monday,7,stop_loss,,,,,,,,,{},{}
TRADED,99206,GBP_USD,sell,unknown_restart,0.0,2026-03-03T03:22:55.610990036Z,1.33982,2026-03-03T06:04:29.100259815Z,1.33571,0.0,0.0,86.0363,41.10000000000058,161,28100.0,,Tuesday,3,take_profit,,,,,,,,,{},{}
TRADED,99190,EUR_USD,sell,unknown_restart,0.0,2026-03-02T18:40:51.828213387Z,1.16879,2026-03-03T07:41:32.643600275Z,1.16468,0.0,0.0,93.4775,41.10000000000058,780,30490.0,,Monday,18,take_profit,,,,,,,,,{},{}
TRADED,99212,GBP_USD,sell,unknown_restart,0.0,2026-03-03T06:27:45.212617360Z,1.33624,2026-03-03T08:12:26.185986200Z,1.33213,0.0,0.0,86.1554,41.10000000000058,104,28064.0,,Tuesday,6,take_profit,,,,,,,,,{},{}
